Index,Code,Company,Market Cap,Share Price,Change
343,YRL.AX,Yandal Resources Limited,35.51M,0.38,0.00%
344,RCP.AX,Redbank Copper,35.27M,0.086,0.00%
345,AMG.AX,Ausmex Mining Group Limited,35.19M,0.064,0.00%
346,ARE.AX,Argonaut Resources NL,34.95M,0.013,0.00%
347,XAM.AX,Xanadu Mines,34.94M,0.032,0.00%
348,AQX.AX,Alice Queen Limited,34.93M,0.032,0.00%
349,KRM.AX,Kingsrose Mining,34.31M,0.047,0.00%
350,ERM.AX,Emmerson Resources,34.28M,0.071,0.00%
351,CZR.AX,CZR Resources Ltd,34.24M,0.013,0.00%
352,VMC.AX,Venus Metals,33.99M,0.225,0.00%
353,CST.AX,Castile Resources Ltd,33.95M,0.17,0.00%
354,ZNC.AX,Zenith Minerals,33.85M,0.115,0.00%
355,IPT.AX,Impact Minerals,33.84M,0.019,0.00%
356,GMN.AX,Gold Mountain Limited,33.47M,0.045,0.00%
357,AME.AX,Alto Metals Limited,33.16M,0.079,0.00%
358,MCT.AX,Metalicity Limited,33.14M,0.019,0.00%
359,GTE.AX,Great Western Exploration,33.12M,0.285,0.00%
360,AWV.AX,Anova Metals,32.96M,0.024,0.00%
361,PWN.AX,Parkway Minerals NL,32.94M,0.015,0.00%
362,CTO.AX,Citigold Corporation,32.65M,0.012,0.00%
363,MR1.AX,Montem Resources Limited,32.61M,0.20,0.00%
364,SNG.AX,Siren Gold Limited,32.53M,0.545,0.00%
365,ARR.AX,American Rare Earths Limited,32.49M,0.098,0.00%
366,MDI.AX,Middle Island Resources,32.25M,0.265,0.00%
367,SMG.AX,Soon Mining Limited,31.64M,0.20,0.00%
368,CAD.AX,Caeneus Minerals,31.51M,0.008,0.00%
369,CG1.AX,Carbonxt Group Limited,31.2M,0.22,0.00%
370,BSR.AX,Bassari Resources,31.04M,0.013,0.00%
371,NAG.AX,Nagambie Resources Limited,31M,0.062,0.00%
372,HGO.AX,Hillgrove Resources,30.49M,0.036,0.00%
373,WAK.AX,WA Kaolin Limited,30.25M,0.19,0.00%
374,AIV.AX,ActivEX Limited,30.11M,0.17,0.00%
375,HAW.AX,Hawthorn Resources,30.02M,0.09,0.00%
376,LMG.AX,Latrobe Magnesium,29.82M,0.023,0.00%
377,AL8.AX,Alderan Resources Limited,29.79M,0.1025,0.00%
378,MGU.AX,Magnum Mining & Exploration,29.61M,0.079,0.00%
379,SUP.AX,Superior Lake Resources Limited,29.58M,0.18,0.00%
380,DAV.AX,Davenport Resources Limited,29.4M,0.073,0.00%
381,FEL.AX,Fe Limited,29.34M,0.053,0.00%
382,PNX.AX,PNX Metals Limited,29.22M,0.008,0.00%
383,SI6.AX,SI6 Metals Limited,29.21M,0.021,0.00%
384,ICG.AX,Inca Minerals,28.87M,0.077,0.00%
385,STM.AX,Sunstone Metals Limited,28.73M,0.013,0.00%
386,SRN.AX,Surefire Resources NL,28.31M,0.029,0.00%
387,CNJ.AX,Conico Ltd,28.29M,0.034,0.00%
388,CNB.AX,Carnaby Resources Limited,28.28M,0.24,0.00%
389,PTR.AX,Petratherm Ltd,28.25M,0.15,0.00%
390,RDM.AX,Red Metal,28.24M,0.115,0.00%
391,ATR.AX,Astron Corporation Limited,28.17M,0.23,0.00%
392,BSM.AX,Bass Metals,28.15M,0.007,0.00%
393,ACS.AX,Accent Resources NL,27.96M,0.06,0.00%
394,GBE.AX,Globe Metals & Mining,27.96M,0.06,0.00%
395,BEM.AX,Blackearth Minerals NL,27.83M,0.185,0.00%
396,GMR.AX,Golden Rim Resources,27.79M,0.011,0.00%
397,IBG.AX,Ironbark Zinc Limited,27.54M,0.029,0.00%
398,MAN.AX,Mandrake Resources Limited,27.49M,0.084,0.00%
399,JAL.AX,Jameson Resources,27.3M,0.09,0.00%
400,TNR.AX,Torian Resources NL,27.29M,0.035,0.00%
401,ORM.AX,Orion Metals Limited,27.25M,0.05,0.00%
402,GMC.AX,Gulf Manganese Corporation Limited,27.02M,0.0055,0.00%
403,MKG.AX,Mako Gold Limited,27.01M,0.105,0.00%
404,CGN.AX,Crater Gold Mining,27M,0.022,0.00%
405,KWR.AX,Kingwest Resources Limited,26.9M,0.175,0.00%
406,NXM.AX,Nexus Minerals,26.86M,0.11,0.00%
407,MAT.AX,Matsa Resources,26.84M,0.099,0.00%
408,AGR.AX,Aguia Resources,26.66M,0.095,0.00%
409,LCD.AX,Latitude Consolidated,26.51M,0.034,0.00%
410,MAG.AX,Magmatic Resources Limited,26.31M,0.15,0.00%
411,RWD.AX,Reward Minerals,26.25M,0.135,0.00%
412,ASO.AX,Aston Minerals Limited,26.15M,0.03,0.00%
413,ASQ.AX,Australian Silica Quartz Group Ltd,26M,0.097,0.00%
414,LSA.AX,Lachlan Star,25.99M,0.023,0.00%
415,MVL.AX,Marvel Gold Limited,25.94M,0.051,0.00%
416,CWX.AX,Carawine Resources Limited,25.59M,0.235,0.00%
417,EQE.AX,Equus Mining,25.45M,0.014,0.00%
418,HXG.AX,Hexagon Resources,25M,0.083,0.00%
419,MTC.AX,MetalsTech Limited,24.92M,0.17,0.00%
420,4CE.AX,Force Commodities Limited,24.65M,0.025,0.00%
421,DTR.AX,Dateline Resources,24.63M,0.0025,0.00%
422,LEX.AX,Lefroy Exploration Limited,24.6M,0.205,0.00%
423,BTR.AX,Brightstar Resources Limited,24.4M,0.056,0.00%
424,PRX.AX,Prodigy Gold NL,24.39M,0.042,0.00%
425,PUR.AX,Pursuit Minerals Limited,24.27M,0.033,0.00%
426,SHN.AX,Sunshine Gold Limited,24.26M,0.068,0.00%
427,ESS.AX,Essential Metals Limited,24.1M,0.12,0.00%
428,JDR.AX,Jadar Resources Limited,24.09M,0.034,0.00%
429,PXX.AX,PolarX Limited,23.84M,0.044,0.00%
430,VEC.AX,Vector Resources,23.52M,0.012,0.00%
431,TSL.AX,Titanium Sands Limited,23.31M,0.028,0.00%
432,HRR.AX,Heron Resources,23.15M,0.056,0.00%
433,BMG.AX,BMG Resources,23.04M,0.096,0.00%
434,TAR.AX,Taruga Minerals Limited,22.86M,0.05,0.00%
435,RHI.AX,Red Hill Iron,22.75M,0.38,0.00%
436,RDN.AX,Raiden Resources Limited,22.74M,0.026,0.00%
437,CYM.AX,Cyprium Metals Limited,22.67M,0.23,0.00%
438,LNY.AX,Laneway Resources,22.65M,0.0065,0.00%
439,TRT.AX,Todd River Resources,22.24M,0.046,0.00%
440,ONX.AX,Orminex Ltd,22.12M,0.041,0.00%
441,A1M.AX,AIC Mines Limited,21.99M,0.32,0.00%
442,BGT.AX,Bio-Gene Technology Ltd,21.98M,0.145,0.00%
443,PGM.AX,Platina Resources,21.82M,0.052,0.00%
444,PPY.AX,Papyrus Australia,21.81M,0.051,0.00%
445,AZI.AX,Alta Zinc Limited,21.66M,0.006,0.00%
446,WSI.AX,Weststar Industrial Limited,21.46M,0.022,0.00%
447,TMR.AX,Tempus Resources Limited,21.17M,0.245,0.00%
448,RIE.AX,Riedel Resources,21.04M,0.024,0.00%
449,DM1.AX,Desert Metals Limited,21M,0.60,0.00%
450,COD.AX,Coda Minerals Ltd,20.56M,0.295,0.00%
451,SAU.AX,Southern Gold,20.48M,0.097,0.00%
452,AYM.AX,Australia United Mining Limited,20.27M,0.011,0.00%
453,GRL.AX,Godolphin Resources Limited,20.19M,0.24,0.00%
454,OAU.AX,Ora Gold Limited,20.18M,0.024,0.00%
455,ARN.AX,Aldoro Resources Limited,19.91M,0.295,0.00%
456,PRL.AX,Province Resources Ltd,19.9M,0.026,0.00%
457,NSM.AX,North Stawell Minerals Ltd,19.8M,0.495,0.00%
458,TIN.AX,TNT Mines Limited,19.77M,0.205,0.00%
459,TPO.AX,Tian Poh Resources Limited,19.33M,0.05,0.00%
460,SPQ.AX,Superior Resources,19.28M,0.014,0.00%
461,AKO.AX,Akora Resources Limited,19.17M,0.38,0.00%
462,DEX.AX,Duke Exploration Limited,19.01M,0.315,0.00%
463,CRS.AX,Caprice Resources Ltd,18.84M,0.285,0.00%
464,AUL.AX,AuStar Gold Limited,18.82M,0.35,0.00%
465,TRL.AX,Tanga Resources Limited,18.5M,0.05,0.00%
466,ANX.AX,Anax Metals Limited,18.49M,0.066,0.00%
467,MRQ.AX,MRG Metals,18.49M,0.012,0.00%
468,CY5.AX,Cygnus Gold Limited,18.37M,0.17,0.00%
469,MXR.AX,Maximus Resources,18.27M,0.15,0.00%
470,IDA.AX,Indiana Resources Limited,18.19M,0.072,0.00%
471,EMU.AX,Emu NL,18.18M,0.051,0.00%
472,KTA.AX,Krakatoa Resources,18.13M,0.065,0.00%
473,DDD.AX,3D Resources,18.08M,0.005,0.00%
474,TKM.AX,Trek Metals Limited,17.9M,0.07,0.00%
475,LIN.AX,Lindian Resources,17.89M,0.025,0.00%
476,CNL.AX,Celamin Holdings,17.75M,0.091,0.00%
477,REZ.AX,Resources & Energy Group,17.7M,0.041,0.00%
478,PNN.AX,Pepinnini Lithium Limited,17.57M,0.425,0.00%
479,RMX.AX,Red Mountain Mining,17.52M,0.014,0.00%
480,RGL.AX,Riversgold Limited,17.45M,0.044,0.00%
481,TLM.AX,Talisman Mining,17.36M,0.093,0.00%
482,MGL.AX,Magontec Limited,17.26M,0.015,0.00%
483,PUA.AX,Peak Minerals Limited,17.21M,0.028,0.00%
484,AAU.AX,Antilles Gold Limited,17.17M,0.088,0.00%
485,SRZ.AX,Stellar Resources,17.11M,0.026,0.00%
486,SMI.AX,Santana Minerals,17.1M,0.15,0.00%
487,ZAG.AX,Zuleika Gold Limited,17.1M,0.05,0.00%
488,CLZ.AX,Classic Minerals,17.04M,0.0015,0.00%
489,BAR.AX,Barra Resources,16.94M,0.025,0.00%
490,KFE.AX,Kogi Iron,16.92M,0.02,0.00%
491,AON.AX,Apollo Minerals,16.81M,0.05,0.00%
492,NPM.AX,New Peak Metals Limited,16.77M,0.0035,0.00%
493,ACP.AX,Audalia Resources Limited,16.61M,0.024,0.00%
494,VIC.AX,Victory Mines,16.55M,0.003,0.00%
495,HNR.AX,Hannans Ltd,16.52M,0.007,0.00%
496,GIB.AX,Gibb River Diamonds Limited,16.5M,0.079,0.00%
497,DTM.AX,Dart Mining NL,16.49M,0.165,0.00%
498,SPN.AX,Sparc Technologies Limited,16.4M,0.305,0.00%
499,LLO.AX,Lion One Metals,16.37M,1.60,0.00%
500,CAV.AX,Carnavale Resources,16.34M,0.008,0.00%
501,AJY.AX,Asaplus Resources,16.32M,0.12,0.00%
502,RIM.AX,Rimfire Pacific Mining NL,16.26M,0.009,0.00%
503,AQD.AX,AusQuest Limited,16.26M,0.024,0.00%
504,RBR.AX,RBR Group Limited,16.25M,0.013,0.00%
505,ADY.AX,Admiralty Resources NL,16.23M,0.014,0.00%
506,NRX.AX,Noronex Limited,16.18M,0.135,0.00%
507,VR8.AX,Vanadium Resources Limited,16.09M,0.041,0.00%
508,GUL.AX,Gullewa Limited,15.87M,0.087,0.00%
509,ELE.AX,Elmore Ltd,15.59M,0.069,0.00%
510,WC8.AX,Wildcat Resources Limited,15.56M,0.031,0.00%
511,GTR.AX,GTI Resources,15.47M,0.024,0.00%
512,EMT.AX,eMetals Limited,15.36M,0.037,0.00%
513,CRL.AX,Comet Resources,15.31M,0.025,0.00%
514,SLZ.AX,Sultan Resources Ltd,15.3M,0.22,0.00%
515,MSR.AX,Manas Resources,15.18M,0.0055,0.00%
516,PF1.AX,Pathfinder Resources Ltd,15.17M,0.305,0.00%
517,ABX.AX,Australian Bauxite Limited,14.73M,0.098,0.00%
518,BNR.AX,Bulletin Resources,14.52M,0.081,0.00%
519,NES.AX,Nelson Resources Limited,14.44M,0.10,0.00%
520,CAZ.AX,Cazaly Resources,14.43M,0.04,0.00%
521,BOA.AX,Boadicea Resources,14.29M,0.23,0.00%
522,CBE.AX,Cobre Limited,14.24M,0.21,0.00%
523,SHH.AX,Shree Minerals,13.76M,0.017,0.00%
524,TKL.AX,Traka Resources,13.67M,0.027,0.00%
525,SCI.AX,Silver City Minerals,13.65M,0.028,0.00%
526,ERL.AX,Empire Resources,13.63M,0.015,0.00%
527,ARO.AX,Astro Resources NL,13.48M,0.0045,0.00%
528,STK.AX,Strickland Metals Limited,13.48M,0.032,0.00%
529,SBR.AX,Sabre Resources,13.46M,0.008,0.00%
530,VAL.AX,Valor Resources Limited,13.45M,0.007,0.00%
531,ALY.AX,Alchemy Resources,13.44M,0.02,0.00%
532,MLM.AX,Metallica Minerals,13.28M,0.041,0.00%
533,CXX.AX,Cradle Resources,13.28M,0.07,0.00%
534,RLC.AX,Reedy Lagoon Corporation,13.15M,0.028,0.00%
535,MBK.AX,Metal Bank Limited,13.03M,0.011,0.00%
536,MRR.AX,Minrex Resources Limited,13.03M,0.026,0.00%
537,CSE.AX,Copper Strike Ltd,12.82M,0.12,0.00%
538,GNM.AX,Great Northern Minerals Limited,12.71M,0.013,0.00%
539,TRN.AX,Torrens Mining Limited,12.63M,0.19,0.00%
540,NTL.AX,New Talisman Gold,12.57M,0.0045,0.00%
541,AGC.AX,Australian Gold and Copper Ltd,12.19M,0.18,0.00%
542,SCN.AX,Scorpion Minerals Limited,12.16M,0.053,0.00%
543,AMD.AX,Arrow Minerals Limited,11.99M,0.009,0.00%
544,ENT.AX,Enterprise Metals,11.97M,0.022,0.00%
545,DCX.AX,DiscovEx Resources Limited,11.96M,0.01,0.00%
546,BDG.AX,Black Dragon Gold Corp.,11.96M,0.089,0.00%
547,RAN.AX,Range International Limited,11.74M,0.026,0.00%
548,PSL.AX,Paterson Resources Ltd,11.73M,0.037,0.00%
549,OZM.AX,OzAurum Resources Limited,11.7M,0.225,0.00%
550,MRD.AX,Mount Ridley Mines Limited,11.64M,0.003,0.00%
551,KGM.AX,Kalnorth Gold Mines,11.63M,0.013,0.00%
552,KMT.AX,Kopore Metals Limited,11.62M,0.018,0.00%
553,A1G.AX,African Gold Limited,11.58M,0.23,0.00%
554,SRI.AX,Sipa Resources,11.56M,0.065,0.00%
555,ENV.AX,Enova Mining Limited,11.51M,0.034,0.00%
556,RFR.AX,Rafaella Resources Ltd,11.51M,0.09,0.00%
557,CR1.AX,Constellation Resources Limited,11.22M,0.32,0.00%
558,NME.AX,Nex Metals Explorations,11.22M,0.042,0.00%
559,QGL.AX,Quantum Graphite Limited,11.16M,0.051,0.00%
560,HLX.AX,Helix Resources,11.12M,0.014,0.00%
561,CBY.AX,Canterbury Resources Ltd,11M,0.125,0.00%
562,CAP.AX,Carpentaria Resources Limited,10.82M,0.035,0.00%
563,M2R.AX,Miramar Resources Limited,10.77M,0.255,0.00%
564,AUN.AX,Aurumin Limited,10.77M,0.24,0.00%
565,FAU.AX,First Au Limited,10.76M,0.02,0.00%
566,PRS.AX,Prospech Limited,10.73M,0.165,0.00%
567,AUQ.AX,Alara Resources,10.72M,0.016,0.00%
568,ANW.AX,Aus Tin Mining,10.5M,0.0015,0.00%
569,MLS.AX,Metals Australia,10.48M,0.0025,0.00%
570,AEV.AX,Avenira Limited,10.35M,0.012,0.00%
571,CZL.AX,Consolidated Zinc Limited,10.22M,0.043,0.00%
572,QXR.AX,QX Resources Limited,10.14M,0.019,0.00%
573,MRZ.AX,Mont Royal Resources Limited,10.13M,0.305,0.00%
574,NWM.AX,Norwest Minerals Limited,10.01M,0.092,0.00%
575,M24.AX,Mamba Exploration Limited,9.99M,0.27,0.00%
576,BYH.AX,Bryah Resources Limited,9.98M,0.065,0.00%
577,RML.AX,Resolution Minerals Ltd,9.94M,0.034,0.00%
578,WCN.AX,White Cliff Minerals,9.83M,0.019,0.00%
579,BUX.AX,Buxton Resources,9.8M,0.072,0.00%
580,RCR.AX,RCR Tomlinson,9.72M,0.26,0.00%
581,PAM.AX,Pan Asia Metals Limited,9.68M,0.185,0.00%
582,OKR.AX,Okapi Resources Limited,9.67M,0.215,0.00%
583,QEM.AX,QEM Limited,9.6M,0.096,0.00%
584,AAJ.AX,Aruma Resources Limited,9.54M,0.09,0.00%
585,CXM.AX,Centrex Metals,9.53M,0.026,0.00%
586,SHE.AX,Stonehorse Energy Limited,9.48M,0.024,0.00%
587,CZN.AX,Corazon Mining,9.43M,0.058,0.00%
588,ANL.AX,Amani Gold Limited,9.39M,0.001,0.00%
589,GED.AX,Golden Deeps,9.3M,0.012,0.00%
590,LSR.AX,Lodestar Minerals,9.13M,0.01,0.00%
591,TMG.AX,Trigg Mining Ltd,9.02M,0.145,0.00%
592,TYX.AX,Tyranna Resources Limited,8.98M,0.007,0.00%
593,GES.AX,Genesis Resources,8.61M,0.011,0.00%
594,FTZ.AX,Fertoz Ltd,8.54M,0.055,0.00%
595,BPM.AX,BPM Minerals Limited,8.54M,0.345,0.00%
596,PNM.AX,Pacific Nickel Mines Limited,8.54M,0.057,0.00%
597,NCR.AX,NuCoal Resources,8.45M,0.011,0.00%
598,TEM.AX,Tempest Minerals Limited,8.43M,0.031,0.00%
599,SER.AX,Strategic Energy Resources,8.4M,0.042,0.00%
600,CRB.AX,Carbine Resources,8.39M,0.042,0.00%
601,AX8.AX,Accelerate Resources Limited,8.31M,0.053,0.00%
602,GSM.AX,Golden State Mining Limited,8.21M,0.145,0.00%
603,WML.AX,Woomera Mining Limited,8.16M,0.024,0.00%
604,XTC.AX,Xantippe Resources Limited,8.15M,0.002,0.00%
605,SUH.AX,Southern Hemisphere Mining,8.07M,0.033,0.00%
606,FNT.AX,Frontier Resources,7.83M,0.016,0.00%
607,AQC.AX,Australian Pacific Coal,7.83M,0.155,0.00%
608,KFM.AX,Kingfisher Mining Ltd,7.74M,0.235,0.00%
609,CAE.AX,Cannindah Resources Limited,7.73M,0.027,0.00%
610,AWJ.AX,Auric Mining Limited,7.69M,0.19,0.00%
611,THR.AX,Thor Mining Plc,7.69M,0.017,0.00%
612,MOH.AX,Moho Resources NL,7.68M,0.082,0.00%
613,SFM.AX,Santa Fe Minerals Ltd,7.65M,0.105,0.00%
614,DAF.AX,Discovery Africa Limited,7.52M,0.037,0.00%
615,RDS.AX,Redstone Resources,7.41M,0.014,0.00%
616,MHK.AX,Metal Hawk Limited,7.39M,0.205,0.00%
617,HHM.AX,Hampton Hill Mining NL,7.37M,0.025,0.00%
618,GBR.AX,Great Boulder Resources,7.33M,0.039,0.00%
619,MEG.AX,Megado Gold Limited,7.3M,0.18,0.00%
620,ERW.AX,Errawarra Resources Ltd,7.08M,0.21,0.00%
621,PAK.AX,Pacific American Holdings Limited,7.01M,0.022,0.00%
622,AVW.AX,Avira Resources Limited,6.88M,0.005,0.00%
623,MQR.AX,Marquee Resources Limited,6.71M,0.064,0.00%
624,WSR.AX,Westar Resources Limited,6.64M,0.215,0.00%
625,TMX.AX,Terrain Minerals,6.62M,0.009,0.00%
626,CUL.AX,Cullen Resources,6.6M,0.022,0.00%
627,CML.AX,Chase Mining Corporatation,6.6M,0.018,0.00%
628,CDT.AX,Castle Minerals,6.59M,0.009,0.00%
629,ODM.AX,Odin Metals Limited,6.49M,0.025,0.00%
630,NMR.AX,Native Mineral Resources,6.48M,0.225,0.00%
631,EFE.AX,Eastern Iron Limited,6.43M,0.012,0.00%
632,VAR.AX,Variscan Mines,6.39M,0.03,0.00%
633,APG.AX,Austpac Resources NL,6.33M,0.002,0.00%
634,BDI.AX,Blina Minerals NL,6.27M,0.001,0.00%
635,AHN.AX,Athena Resources,6.21M,0.02,0.00%
636,GLA.AX,Gladiator Resources Ltd,6.14M,0.017,0.00%
637,RNX.AX,Renegade Exploration Limited,6.04M,0.007,0.00%
638,KOR.AX,Korab Resources,5.98M,0.018,0.00%
639,MTB.AX,Mount Burgess Mining NL,5.94M,0.009,0.00%
640,KGD.AX,Kula Gold,5.92M,0.038,0.00%
641,RMG.AX,RMG Limited,5.87M,0.007,0.00%
642,FIN.AX,Fin Resources Limited,5.83M,0.02,0.00%
643,RMI.AX,Resource Mining Corporation,5.63M,0.019,0.00%
644,ZMI.AX,Zinc of Ireland NL,5.62M,0.046,0.00%
645,CMC.AX,China Magnesium Corporation,5.56M,0.011,0.00%
646,G88.AX,Golden Mile Resources Ltd,5.54M,0.045,0.00%
647,OKJ.AX,Oakajee Corporation,5.44M,0.06,0.00%
648,SXX.AX,Southern Cross Exploration NL,5.39M,0.005,0.00%
649,DMG.AX,Dragon Mountain Gold,5.27M,0.02,0.00%
650,NXE.AX,New Energy Minerals,4.98M,0.027,0.00%
651,AOA.AX,Ausmon Resources,4.76M,0.007,0.00%
652,LML.AX,Lincoln Minerals,4.6M,0.008,0.00%
653,CMD.AX,Cassius Mining Limited,4.6M,0.016,0.00%
654,KP2.AX,Kore Potash Plc,4.22M,0.016,0.00%
655,HGM.AX,High Grade Metals Limited,4.19M,0.0074,0.00%
656,RAG.AX,Ragnar Metals Limited,3.6M,0.011,0.00%
657,VIA.AX,ViaGold Rare Earth Resources Holdings Limited,3.5M,0.042,0.00%
658,TRM.AX,Truscott Mining Corporation,3.45M,0.027,0.00%
659,NIU.AX,Niuminco Group,3.11M,0.02,0.00%
660,HOR.AX,Horseshoe Metals,3.05M,0.012,0.00%
661,MDX.AX,Mindax Limited,2.96M,0.003,0.00%
662,AXT.AX,Argo Exploration,2.83M,0.014,0.00%
663,NMG.AX,NMG Corporation Limited,2.71M,0.16,0.00%
664,CVS.AX,Cervantes Corporation,2.14M,0.004,0.00%
665,RMT.AX,RMA Energy,2.1M,0.001,0.00%
666,GCR.AX,Golden Cross Resources,1.93M,0.019,0.00%
667,AKN.AX,Auking Mining Limited,1.87M,0.002,0.00%
668,AHK.AX,Ark Mines,1.78M,0.034,0.00%
669,SBU.AX,Siburan Resources,1.4M,0.002,0.00%
670,ATM.AX,Aneka Tambang (Persero) Tbk,1.3M,1.00,0.00%
671,CGM.AX,Cougar Metals NL,1.18M,0.001,0.00%
672,PBX.AX,Pacific Bauxite Limited,"793,228",0,0.003,0.00%
673,CDH.AX,ChongHerr Investments,"260,415",0,0.002,0.00%
674,AQM.AX,Anglo American Capital PLC,N/A,0,0.00,0.00%
675,CSM.AX,Cosmo Gold Limited,N/A,0,0.00,0.00%
676,FRB.AX,Firebird Metals Limited,N/A,0,0.00,0.00%
677,JNO.AX,Juno Minerals Limited,N/A,0,0.00,0.00%
678,PGD.AX,Peregrine Gold Limited,N/A,0,0.00,0.00%
679,SL1.AX,Symbol Mining Limited,N/A,0,0.00,0.00%
