"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent"
"1","ALK.AX","Alkane Resources Limited","Alkane Resources Limited is an Australia-based multi-mine gold producing company. The Company’s projects include Tomingley Gold Project and Northern Molong Porphyry Project (NMPP). The Tomingley Gold Project covers an area of approximately 440 square kilometer (km), stretching 60km north-south along the Newell Highway in central-western New South Wales. The Northern Molong Porphyry Project (NMPP) covers an area of approximately 115 square km, centered approximately 20km north of Wellington and about 35km east of Dubbo in central western New South Wales. The Company’s exploration projects are located in central western New South Wales, which includes gold, gold-copper and other metal (nickel, zinc and silver) prospects. The Company’s gold production is from the Tomingley Gold Operations in Central West New South Wales. Its exploration projects are in the tenement area between Tomingley and Peak Hill.",2021-02-12,0.78,1.54,0.47,1.1,-16.76,2099718,33.91,464.4,1.69,14.47,0.08,2.47,0.46,422.56,374.73,-160.83,38.31,0,17.59,27.06,0
"2","ADN.AX","Andromeda Metals Limited","Andromeda Metals Limited, formerly Adelaide Resources Limited, is an exploration company. The Company is engaged in the exploration for gold, copper and other economic mineral deposits. It has interests in over 20 exploration licenses, covering over 7,970 square kilometers (sq. kms) within South Australia, Queensland, Western Australia and the Northern Territory. Its projects include Drummond, Eyre Peninsula, Moonta, Rover and Lithium. It holds equity in two tenements (EPM 18090 and EPMA 25660) in the Drummond Basin in Queensland, covering over 270 sq. kms. It holds 100% equity in over five tenements covering over 3,640 sq. kms on the northern Eyre Peninsula in South Australia. It owns Moonta Copper Gold Project located near the southern end of the Olympic Copper-Gold Province in South Australia. It holds 100% equity in over two tenements in the Rover Field located southwest of Tennant Creek. Its lithium projects include Davenport Ranges, Coolgardie and South Australian Salt Lakes.",2021-02-12,0.3,0.36,0.02,0.19,620.93,6384287,0,656.58,43.57,-127.96,0,1.04,0.01,464,1220,-2.53,16.88,0,0,-4095.66,0
"3","AGG.AX","Anglogold Ashanti","AngloGold Ashanti Limited (AngloGold Ashanti) is a gold mining company. The Company's business activities span the spectrum of the mining value chain. Its main product is gold. Its portfolio includes mine in approximately 10 countries. It also produces silver and sulfuric acid as by-products. The Company operates through three segments: Continental Africa, Australia and Americas. It has operations in Continental Africa in locations, including Democratic Republic of the Congo, Ghana, Guinea, Mali and Tanzania. The Australia segment includes the operations in Australia. It consists of Sunrise Dam and Tropicana. The Americas segment includes the operations in Argentina, Brazil and Colombia.",2021-02-12,6,14,4.8,7,2.35,23342,8.64,12584,0.84,2.69,3.1,94.65,7.23,4150,412.94,67,0,1.81,7.55,24.94,26.4
"4","BGL.AX","Bellevue Gold Limited","Bellevue Gold Limited, formerly Draig Resources Limited, is an Australia-based gold exploration company. The Company’s principal project is the Bellevue Gold Project, which is located approximately 157 kilometers north west of Laverton in Western Australia. The Bellevue Gold Project covers an area of approximately 27 square kilometers over three granted mining leases and one exploration license. The Company also holds interests in the Tribune Lode high grade discovery and the South Yandal Gold project.",2021-02-12,0.98,1.49,0.28,1.15,87.16,4717529,0,872.48,7.32,-158.99,0.04,0,0.14,831.65,704.02,-34.05,12.7,0,0,-10846.15,1633.3
"5","CMM.AX","Capricorn Metals Ltd","Capricorn Metals Limited is a gold explorer and developer, based in Perth, Western Australia. The Company’s exploration and real estate assets held in Madagascar are to be divested, with all funds directed towards gold exploration at Karlawinda. The Karlawinda Project includes is located approximately 65kilometres south of Newman in the Pilbara mining province in Western Australia. The Karlawinda Project includes the Bibra gold deposit and numerous outstanding exploration targets, including the advanced Francopan gold prospect, within an under-explored 290 square kilometer tenement package. The Bibra deposit has a JORC 2012 inferred resource of 18 million tons at the rate 1.1g/t Au for 650,800oz Au contained within an optimized pit design at A$1600/ounce gold price. On February 2016, the Company completed the acquisition of the Karlawinda Gold Project in Western Australia.",2021-02-12,1.7,2.37,0.85,1.81,38.21,495119,0,584.76,5.47,-40.92,0.14,0.25,0.31,510.05,258.58,-30.09,28.55,0,0,-4333.4,163.2
"6","CYL.AX","Catalyst Metals","Catalyst Metals Limited is engaged in mineral exploration and evaluation. The Company holds interests in advanced gold projects located in Victoria. Its tenements are situated along the 100-kilometer long Whitelaw Fault. The Company's projects include Whitelaw Gold Belt, Tandarra Gold Project, Raydarra Project, Four Eagles Project, Macorna Bore Project and Sebastian Project. The Raydarra Project lies immediately south of the Tandarra Faults and covers a strike length of approximately 10 kilometres on the southern extension of the Whitelaw. The Company's Four Eagles Gold Project is a joint venture between the Company, Providence Gold and Minerals Pty Ltd (Providence) and Gold Exploration Victoria Pty Ltd (GEV). Its Four Eagles Project consists of three prospects: Discovery, Hayanmi and Boyd's Dam. The Macorna Bore Project lies north of the town of Pyramid Hill and straddles the interpreted northern corridor of the Whitelaw and Sebastian Faults.",2021-02-12,2.03,3.4,1.74,2.46,-25.7,52759,0,204.46,7.56,-83.89,0.22,0,0.28,153.06,34.73,-5.02,60.56,0,-168.29,-177.71,181.8
"7","CTM.AX","Centaurus Metals","Centaurus Metals Limited is an Australia-based company, which is engaged in exploration and evaluation activities related to mineral resources. The Company operates through the exploration of minerals segment. Its projects include Aurora Copper Project; Mombuca Gold project; Conquista Direct Ship Ore (DSO) Iron Ore Project, and Jambreiro Iron Ore Project. Its Aurora Copper Project is located in the north-eastern region of Brazil in the State of Ceara, approximately 350 kilometers south of the State Capital Fortaleza. Its Mombuca Gold project focuses on gold and iron-ore mineralization, and is located in the State of Minas Gerais, Brazil. Its Conquista DSO Iron Ore Project consists of a portfolio of tenements located in the State of Minas Gerais, Brazil. Its Jambreiro Iron Ore Project, located in south-east Brazil, is a shovel-ready development project that is licensed for approximately three million tons per annum (Mtpa) of wet production.",2021-02-12,0.8,0.96,0,0.62,6361.54,862755,0,288.32,35.2,-32.59,0.02,1.12,0.03,225.24,182.5,-0.53,31.08,0,0,-1497.08,537.5
"8","CHN.AX","Chalice Mining Limited","Chalice Mining Ltd, formerly Chalice Gold Mines Limited, is an Australia-based mining company. The Company is engaged in mineral exploration and Platinum Group Element-Nickel-Copper-Cobalt-Gold discovery. The Company's projects include Pyramid Hill Gold Project, which is located in Victoria, Australia; Julimar Nickel-Copper-PGE Project, which is located in Avon Region, Western Australia and Hawkstone Nickel-Copper-Cobalt Project, which is located in west Kimberley region of Western Australia.",2021-02-12,4.48,4.92,0.14,3.03,1493.22,2338379,0,1603,26.65,-118.72,0.18,0.11,0.18,1390,261.44,-4.24,17.51,0,0,-2598.9,41.3
"9","DCN.AX","Dacian Gold","Dacian Gold Limited is a gold exploration and development company. The Company's principal activities include mineral exploration and development activities at its Mt Morgans Gold Project (MMGP) in Western Australia. MMGP is located over 20 kilometers west of Laverton, being approximately 850 kilometers northeast of Perth in Western Australia. The project area is a 520 square kilometer contiguous tenement package comprising granted mining licenses. MMGP includes various deposits, such as Westralia Deposit, Allanson Deposit, Beresford Deposit and Jupiter Deposit. The Jupiter Deposit occurs in the eastern half of the MMGP, being over 20 kilometers east-south-east of the Westralia Deposit. The Beresford mineralization is located at the south end of the Westralia ore system. The Cameron Well Prospect is located over five kilometers east of Westralia. The Callisto Prospect lies over six kilometers south of the Jupiter Deposit and over seven kilometers west of the Wallaby gold deposit.",2021-02-12,0.44,1.4,0.29,0.39,-68.93,3141835,0,242.08,1.49,6.61,0.09,48.07,0.29,268.18,448.53,-22.89,15.62,0,-43.13,-5.22,-3.7
"10","DEG.AX","De Grey Mining","De Grey Mining Limited is a mining company. The Company is engaged in exploration activities in Australia. The Company's principal activity is minerals exploration at its Turner River Project, located approximately 50 kilometers south of Port Hedland in the Pilbara region of Western Australia. The Turner River Project covers an area of approximately 980 square kilometers. The Turner River Project consists of over 900 square kilometers of gold and base metals tenure covering various portions of the Tabba Tabba Thrust and Mallina Shear Zone, host to approximately three gold and two base metal deposits, with various exploration targets. The Company's tenements include E47/891, E45/2533, E45/2364, E45/2995, E45/3390, E45/3391 and E45/3392. The Company's subsidiaries include Beyondie Gold Pty Ltd, Domain Mining Pty Ltd, Winterwhite Resources Pty Ltd and Last Crusade Pty Ltd.",2021-02-12,0.88,1.6,0.16,1.09,378.38,5786901,0,1115,13.52,-303.95,0.02,0.69,0.06,986.59,822.13,-12.44,29.57,0,0,-950.56,-69.3
"11","DGO.AX","DGO Gold Limited","DGO Gold Limited is engaged in evaluation and exploration of mineral deposits in sediment hosted gold deposits in Australia. The Company is involved in acquiring exploration tenements on gold, copper and zinc exploration. The Company has applied for approximately three sediment hosted gold target areas in the Eastern Goldfields of Western Australia at Mt Edwards, Black Flag and Ora Banda South West. The Mt Edwards is an exploration license application, consisting of over nine contiguous sub blocks, located to the east of the Coolgardie-Norseman highway, approximately 15 kilometers north of the township of Widgiemooltha. The Black Flag is an exploration license application, consisting of over six contiguous sub blocks, to the west of the Kalgoorlie-Menzies highway, approximately 20 kilometers North West of Kalgoorlie. The Ora Banda South West consists of over 10 contiguous prospecting licenses, approximately seven kilometers south west of the township of Ora Banda.",2021-02-12,2.62,4.66,1.18,3.16,50,21684,0,213.3,3.04,-88.1,0.17,0.62,0.95,191.21,28.44,-3.62,47.52,0,-51.8,-1316.03,66.9
"12","E25.AX","Element 25 Limited","Element 25 Limited, formerly Montezuma Mining Company Limited, is a mineral exploration company. The Company is engaged in carrying out exploration on its tenements and also applies for or acquired additional tenements. Its segments include Australia and France. Its segments are engaged in the determination and assessment of the existence of commercial economic reserves, from the Company's mineral assets in its geographic location. It holds various multi-commodity exploration and mining tenements in Western Australia. Its primary focus is on its approximately 100% owned Yamarna Gold Project, as well as its over 100% owned Holleton Gold Project, which is located approximately 400 kilometers east of Perth. It owns a manganese resource at its approximately 100% owned Butcherbird Project. It has nickel sulfide potential at the Green Dam Project and has a pipeline of business development activities ongoing in France. The Green Dam Project is located east of Kalgoorlie in Western Australia.",2021-02-12,1.85,1.99,0.1,1.08,1071.88,347222,0,234.76,25.29,-47.32,0.07,0,0.07,167.1,61.58,-2.7,42.98,0,0,-6593.06,-64.3
"13","EMR.AX","Emerald Resources NL","Emerald Resources NL is an Australia-based company, which is engaged in exploring and developing gold projects. The Company's principal activities include the exploration and development of the Okvau Gold.",2021-02-12,0.76,0.9,0.03,0.67,1573.91,274642,0,412.32,3.42,-41.61,0.26,70.2,0.23,359.7,354.93,-31.73,31.59,0,0,-3625.83,-31.7
"14","FFX.AX","Firefinch Limited","Firefinch Limited, formerly Mali Lithium Limited, is an Australia-based lithium company focused on the development of the Goulamina Lithium Project in Mali. It operates in two segments, which involve mining exploration for gold and lithium. It operates in Australia and West Africa. The Goulamina Lithium Project comprises a landholding of approximately 100 square kilometers covering hard rock lithium pegmatites in the Bougouni region of southern Mali, approximately 150 kilometers by road from Mali’s capital, Bamako. Apart from its focus on the development of Goulamina Lithium Project, the Company also holds Massigui Gold Project and Dankassa Gold Project. The Massigui Gold Project is situated in southern Mali approximately 280 kilometers by road from the capital, Bamako. The Dankassa Project is situated on the east bank of the Niger River, in southern Mali, approximately 110 kilometers by road south of Bamako, the capital city of Mali. It also operates Morila gold mine in Mali.",2021-02-12,0.24,0.27,0.26,0,0,0,0,207.21,3.27,-33.41,0,0.26,0.08,83.27,284.45,-3.52,10.71,0,0,0,0
"15","GOR.AX","Gold Road Resources","Gold Road Resources Ltd is an Australia-based gold production and exploration company. The Company operates through two segments: Development and Production and Exploration. The Development and Production segment consists of the joint Gruyere operation with Gold Fields. The Exploration segment includes the activities on all mineral exploration and the Gruyere JV tenements. The Gruyere gold mine is located approximately 200 kilometers (kms) east of Laverton, in Western Australia. The Golden Highway project is located approximately 25 kilometers west of the Gruyere Gold Mine on the western side of the Yamarna Greenstone Belt.",2021-02-12,1.19,2.02,0.8,1.46,0,5755008,31,1091,2.95,13.69,0.08,38.31,0.42,1160,834.43,27.08,5.47,0,16.95,26.4,0
"16","IGO.AX","IGO Limited","IGO Limited, formerly Independence Group NL, is an Australia-based exploration and mining company. The Company’s segments include The Nova Operation, the Tropicana Operation and Growth, which comprises regional exploration activities and project evaluation. The Nova Operation produces nickel and copper concentrates. The Tropicana Operation represents the Company’s joint venture interest in the Tropicana Gold Mine. The Company is engaged in nickel, copper and cobalt mining and processing at the Nova Operation and non-operator gold mining in the Tropicana Operation. The Nova Operation is located in the Fraser Range, approximately 140 kilometer (km) east-northeast of Norseman, 360km southeast of Kalgoorlie and 380km from the port of Esperance in Western Australia. The Tropicana Operation is located 330km east northeast of Kalgoorlie. The Company’s exploration projects are located in Western Australia, South Australia, the Northern Territory and Greenland.",2021-02-12,6.46,7.76,3.27,5.17,0,3958792,36.87,5081,1.89,9.01,1.75,1.42,3.56,3620,654.27,132.57,12.58,0.76,12.45,19.15,-2.5
"17","KCN.AX","Kingsgate Consolidated Limited","Kingsgate Consolidated Limited is engaged in mining and mineral exploration in Australia, South East Asia and South America. The Company's segments include operating mines and projects, such as Chatree Mine, Thailand; Nueva Esperanza Gold/Silver Project, Chile, and Exploration, South East Asia. The Company and its Thai subsidiary, Akara Resources Public Company Limited, operate the Chatree gold mine in central Thailand, approximately 280 kilometers north of Bangkok. Chatree is an open pit gold mining operation, which produces approximately 125,090 ounces of gold and over 850,000 ounces of silver. It owns interests in Nueva Esperanza project, which is located in the Maricunga gold belt of the Atacama region of northern Chile, approximately 140 kilometers north-east of the city of copiapo. It is a silver and gold project consisting of various deposits hosted in a sulfidation epithermal (hydrothermal) system and a range of undeveloped exploration targets.",2021-02-12,0.94,1.15,0.32,0.79,0,450744,0,220.57,17.73,-9.05,0.07,103.22,0.05,209.01,196.82,-15.81,12.23,0,0,0,0
