"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent"
"18","KLA.AX","Kirkland Lake Gold Ltd","Kirkland Lake Gold Ltd is a Canada-based gold mining, development and exploration company. It has a diversified portfolio of assets located in the stable mining jurisdictions of Canada and Australia. The Company’s main gold mines are: the Macassa Mine located in northeastern Ontario, Detour Lake mines in Northern Ontario and the Fosterville Gold Mine located in the State of Victoria, Australia. In addition, the Company owns the Holt Mine and the Taylor Mine, which are situated along the Porcupine-Destor Fault Zone, in northeastern Ontario, the Cosmo Gold Mine located in the Northern Territory, Australia and the Stawell Gold Mine located in the State of Victoria, Australia. The Company’s subsidiaries include Crocodile Gold Inc, Detour Gold Corporation and Franc-Or Resources Peru SA.",2021-02-12,50.2,80.5,38.44,64.21,0,5017,17.68,13171,2.77,8.72,3.11,0.53,18.06,12880,272.84,550.68,0,0.87,33.21,53.75,65.9
"19","LLO.AX","Lion One Metals","Lion One Metals Limited is engaged in the business of acquiring, exploring, and developing mineral properties. The Company has non-material exploration properties, including a tenement interest in the Olary Creek iron project in South Australia, and over two exploration properties covering over 27,490 hectares within two special prospecting licenses on the island of Vanua Levu in Fiji. Its primary asset is the Tuvatu Gold Project located near Nadi on the island of Viti Levu, Fiji. Its Mineral Resources Department (MRD) of Fiji has granted Special Mining Lease 62 (SML 62) on the Tuvatu project to the Company. The Fijian Islands are located along the Pacific Island Arc, which hosts various mineral epithermal gold deposits systems, such as the Lihir, Porgera, Ok Tedi, and Wafi-Golpu gold deposits in Papua New Guinea. The Olary Creek Project is located in South Australia over 70 kilometers (km) southwest of Broken Hill, New South Wales, and over 40 km south of the Barrier Highway.",2021-02-12,1.6,0,0,0,0,9758,0,233.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","LTR.AX","Liontown Resources","Liontown Resources Limited is an Australia-based exploration company. The Company is engaged in mineral exploration and evaluation. The Company's segments include Exploration and Evaluation, and Corporate. The Company's Kathleen Valley Project is located in Western Australia approximately 680 kilometers northeast (NE) of Perth. Its Lake Percy Lithium Project is located in Western Australia approximately 430 kilometers east of Perth. Its Jubilee Reef Gold Project is located approximately 850 kilometers northwest of Dar es Salaam with in the Lake Victoria Goldfield of northern Tanzania. Its Mohanga Lithium-Tantalum- Gold Project is located in central Tanzania approximately 40 kilometers north-north-east (NNE) of the capital Dodoma.",2021-02-12,0.44,0,0,0,0,3997722,0,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","NST.AX","Northern Star Resources","Northern Star Resources Ltd is an Australia-based gold producer. The Company’s projects are located in Australia and North America. Its assets include Jundee, Kalgoorlie operations, Pogo and Tanami. The Jundee Operation is located in the Northern Goldfields region of Western Australia around 45 kilometers (kms) northeast of Wiluna and approximately 520 kms north of Kalgoorlie. Kalgoorlie operations include Kanowna Belle mine site is situated in the Eastern Goldfields of Western Australia; Kundana underground gold mining project located in the Eastern Goldfields of Western Australia and South Kalgoorlie Operations located within the Eastern Goldfields Superterrane. The Pogo Operation is located 145 kms southeast of Fairbanks, Alaska and is situated in the Tintina Gold Province. The Tanami project operations are located approximately 650 kilometres northwest of Alice Springs and 850 kilometres southwest of Darwin.",2021-02-12,12.06,17.03,8.85,14.16,0,4458485,27.28,13519,4.11,9.85,0.43,22.35,2.83,8760,734.52,156.85,1.64,1.6,14.01,23.66,34.4
"22","NVA.AX","Nova Minerals Limited","Nova Minerals Limited, formerly Quantum Resources Limited, is engaged in the mineral exploration. The Company is an Australian explorer with projects in Western Australia and the Northern Territory. Its projects are prospective for gold and base metals. Its projects include Telfer Project and Tanami (Officer Hill JV) Project. The Company owns approximately 100% interest in Telfer Project, which consists of a single exploration license in an area of over six kilometers from the Telfer Gold mine. The Telfer deposit has an ore reserve of approximately 6.3 million ounces of gold and over 0.295 million tons of copper within a mineral resource of approximately 15 million ounces of gold. It owns over 100% interest in Tanami (Officer Hill JV) Project, which is located within the Tanami geological province. It holds a single exploration license located approximately 34 kilometers southwest of the Callie gold mine. The Tanami (Officer Hill JV) Project is a prospective for gold mineralization.",2021-02-12,0.14,0.23,0.02,0.13,0,6379089,0,258.84,11.07,-59.11,0,7.28,0.01,226.89,1110,-4.5,21.84,0,0,0,0
"23","OBM.AX","Ora Banda Mining Ltd","Ora Banda Mining Ltd., formerly Eastern Goldfields Limited, is engaged in mineral exploration and evaluation, and the care and maintenance of its gold producing mines. The Company's segments include ongoing care and maintenance and mine development work segment and exploration segment. The Company holds interests in the Davyhurst Gold Project and Mt Ida Project. The Davyhurst Gold Project is located approximately 120 kilometers north-west of Kalgoorlie, and the Mt Ida Project is located over 200 kilometers north-west of Kalgoorlie. It also holds a tenement position, covering approximately 1,420 square kilometers. Its other projects include the Golden Eagle project Area; Lights of Israel Complex; Waihi Project Area; Mulline Project Area, including Foxtrot Prospect and Lady Gladys Offset Prospect; Callison/Glasson Project Area, and Siberia Project Area, including Sandking and Missouri Project Area, Camperdown Project Area, Black Rabbit Deposit, Pole Prospect and South Pole Prospect.",2021-02-12,0.28,0.42,0.09,0.33,0,766480,0,244.24,3.58,-49.56,0.01,0.82,0.08,205.07,619.96,-17.48,63.27,0,0,0,0
"24","PAN.AX","Panoramic Resources","Panoramic Resources Limited is a mining company. The Company is engaged in the exploration, evaluation, development and production of mineral deposits. The Company is formed for the purpose of developing the Savannah Nickel Project in the East Kimberley. The Company operates through five segments: Nickel, which includes the Savannah Nickel Project and Copernicus Nickel Project; Gold, which include the Gum Creek Gold Project; Platinum Group Metals (PGM), which include Panton PGM Project; Australian Exploration, which includes the exploration and evaluation activities at the regional areas of Western Australia, and Overseas Exploration, which conducts overseas exploration and evaluation activities in Scandinavia. The Panton PGM Project is located approximately 60 kilometers north of Halls Creek, in the East Kimberley Region of Western Australia. The Gum Creek Gold Project is located approximately 640 kilometers northeast of Perth in Western Australia.",2021-02-12,0.16,0.23,0.06,0.11,0,4572477,0,338.4,2.04,-7.07,0.01,4.36,0.08,304.23,1570,-54.17,26.57,0,-126.44,-109.55,-6.5
"25","PRU.AX","Perseus Mining","Perseus Mining Limited is engaged in mining operations and sale of gold, mineral exploration and gold project evaluation and development in the Republics of Ghana and Cote d'Ivoire, in West Africa. Its segments include Edikan, Sissingue, Yaoure, and Corporate or Other. Edikan segment is engaged in mining, mineral exploration, evaluation and development activities. Sissingue segment is also engaged in mining, mineral exploration, evaluation and development activities. Yaoure segment is engaged in mineral exploration, evaluation and development activities. Edikan Gold Mine is a producing gold mine located in Ghana. The Sissingue Gold Mine is located in the north of Cote d’Ivoire and lies within the Sissingue exploitation permit that covers an area of 446 square kilometers. Yaoure is located in central Cote d’Ivoire, 40-kilometer northwest of Yamoussoukro, the political capital, and 270 km northwest of Abidjan.",2021-02-12,1.19,1.66,0.63,1.33,0,7391466,15.63,1515,1.66,5.77,0.19,25.07,0.74,1450,1140,-33.06,3.59,0,15.96,19.13,39.6
"26","RMS.AX","Ramelius Resources","Ramelius Resources Limited is engaged in exploration, mine development, mine operations, the sale of gold and milling services. The Company's segments include Mt Magnet, Burbanks and Exploration. The Company's operational projects include Mt Magnet Mine, Kathleen Valley Mine and Vivien Mine. Its development projects include Blackmans and Water Tank Hill. Its exploration projects include Milkyway, Boorgardie Basin and Tanami Joint Venture Gold Project. The Mt Magnet gold project is located adjacent to the town of Mt Magnet, approximately 500 kilometers north-east of Perth in the Murchison Goldfield of the Western Australian Yilgarn Craton. The Blackmans gold project is located approximately 30 kilometers north of Mt Magnet, in Western Australia. The Water Tank Hill project lies over 1.5 kilometers west of Mt Magnet, in Western Australia. The Milkyway gold project is located approximately 3.6 kilometers southwest of the processing plant at Mt Magnet, Western Australia.",2021-02-12,1.42,2.53,0.76,1.95,0,5847051,8.63,1131,2.18,4.23,0.21,10.47,0.64,1040,770.61,80.54,4.12,1.39,24.63,32.71,76.8
"27","RED.AX","Red 5 Limited","RED 5 Limited is an Australia-based mineral resource company. The Company’s operations are located in Western Australia’s Eastern Goldfields Region. Its operations include Darlot Gold Mine, King of the Hills, Siana Gold Mine and Mapawa Gold Project. The Darlot Gold Mine is located approximately 900 kilometers (km) north-east of Perth in the Eastern Goldfields region of Western Australia. The Hills Gold Mine is located 80km south of the Darlot Gold Mine and 28km north of the town of Leonora in the Eastern Goldfields region of Western Australia. It holds interest in the Siana Gold Project and the Mapawa Gold Project, both located in the mining region of Surigao del Norte Province on the island of Mindanao. The Company also owns the Cables and Mission gold deposits, located approximately 10km north of its Darlot Gold Mine in Western Australia.",2021-02-12,0.22,0.38,0.17,0.28,0,4540654,78.33,463.16,2.3,7.62,0.06,11.71,0.1,334.14,1690,23.53,5.74,0,2.23,9.6,14.3
"28","RRL.AX","Regis Resources","Regis Resources Ltd is an Australia-based gold production and exploration company. The Company id focused on developing mid-sized gold operations within Australia and Africa. It operates through two reportable segments which comprise the Duketon Gold Project; being Duketon North Operations (DNO), comprising Moolart Well, Gloster, Anchor and Dogbolter, and Duketon South Operations (DSO), incorporating Garden Well, Rosemont, Erlistoun and Tooheys Well. Its Duketon Gold Project is located approximately 130 kilometers (km) north of Laverton in Western Australia. Its Garden Well project is an open pit operation with a standalone mill. Garden Well is located approximately 30 km from the Moolart Well Gold Mine. Rosemont gold project is located approximately nine km north-west of the Garden Well Gold Mine. Its McPhillamys Gold Project is located approximately 35 kilometres south east of the town of Orange.",2021-02-12,3.47,6.18,2.9,4.62,0,3132865,8.88,1782,2.12,4.06,0.38,4.54,1.64,1620,502.93,42.82,0.73,4.57,26.37,38.25,14.1
"29","RSG.AX","Resolute Mining","Resolute Mining Ltd is an Australia-based gold miner. The Company is engaged in exploring, developing and operating gold mines in Australia and Africa. It operates through two segments: Syama and Bibiani. Its Syama Complex, located in the south of Mali, West Africa approximately 30km from the Cote d’Ivoire border and approximately 300km southeast of the capital Bamako, comprises the Syama Underground Mine and the Tabakoroni Open Pit Mine. The Mako Gold Mine is located in eastern Senegal, West Africa. The Company’s Bibiani Gold Mine is situated in the western region of Ghana in West Africa. Its subsidiaries include Resolute (Finkolo) Pty Ltd, Petowal Mining Company SA, Carpentaria Gold Pty Ltd and Mensin Gold Bibiani Limited.",2021-02-12,0.69,1.5,0.6,0.94,0,6951675,0,778.24,0.98,9.27,0.08,42.66,0.72,1020,1030,-33.71,11.59,2.92,-10.56,-7.98,49.8
"30","SO4.AX","Salt Lake Potash Limited","Salt Lake Potash Limited, formerly Wildhorse Energy Limited, is a mineral exploration company. The Company's principal activities include exploration and development of resource projects. Its segments include United States of America and Australia Potash. It holds a range of salt lake brine projects (Projects) in Western Australia, South Australia and the Northern Territory. Its primary focus is the advancement of the Lake Wells' Project, which is located approximately 80 kilometers north of the Great Central Road and over 180 kilometers northeast of Laverton in the West Australian Goldfields. The Project consists of over 1,130 square kilometers of exploration licenses, covering the Lake Wells Playa and the area immediately contiguous to the Lake. It also holds exploration licenses or applications covering all or parts of Lake Irwin and Lake Minigwal and Lake Ballard in Western Australia; Lake Lewis in the Northern Territory, and Lake Macfarlane and Island Lagoon in South Australia.",2021-02-12,0.46,0.64,0.3,0.5,0,1498637,0,349.85,2.83,-6.49,0.02,116.94,0.17,230.39,308.76,-88.22,12.94,0,0,-745.82,168
"31","SFR.AX","Sandfire Resources Limited","Sandfire Resources Limited, formerly Sandfire Resources NL, is an Australia-based mining and exploration company. The Company’s flagship DeGrussa Copper-Gold Mine is located approximately 900 kilometer (km) north-east of Perth in Western Australia. The DeGrussa Project produces copper concentrate and copper grade with notable gold and silver credits. It also holds the T3 Copper-Silver Project, which is a copper exploration and development assets in Botswana. T3 Copper-Silver Project covers approximately 11,700 km square in the Kalahari Copper Belt. Through joint ventures and farm-in agreements, it also holds various projects, such as Greater Doolgunna Project, Morck Well Project, Peak Hill Project, Enterprise Project, Bryah Project, Springfield Project and Cheroona Project.",2021-02-12,5,5.98,2.75,4.85,0,1210225,12.17,930.47,1.24,1.94,1.63,1.66,4.2,629.85,166.84,139.8,8.63,3.73,11.27,19.02,7.8
"32","SLR.AX","Silver Lake Resources","Silver Lake Resources Limited is a gold producing and exploration company. The Company's principal activities include gold mining and processing from the Mount Monger Operation, gold exploration and evaluation projects. The Company’s segments include Mount Monger Operation and Deflector Operation. The Company’s segments are located in Western Australia, with the Mount Monger Operation producing gold bullion, and Deflector producing gold bullion and gold-copper concentrate. The Company has approximately five mines and two processing facilities in operation across its Deflector and Mount Monger operations. The Mount Monger Operation is located approximately 50 kilometers (km) southeast of Kalgoorlie. Gold ore from the Mount Monger Operation is transported to the Randalls Gold Processing Facility, located over 65 km south east of Kalgoorlie.",2021-02-12,1.52,2.75,1.04,2.11,0,6872604,4.9,1331,1.67,4.56,0.29,6.69,0.9,1120,870.04,99.25,0.61,0,45.59,24.36,67.7
"33","SBM.AX","St Barbara Limited","St Barbara Ltd is an Australia-based gold mining company. The Company’s assets include the Leonora Operations in Western Australia, the Simberi Operations in Papua New Guinea, and the Atlantic Gold Operations in Nova Scotia, Canada. Leonora Operations include the Gwalia mine, which is located approximately three kilometers (km) south of the town of Leonora, Western Australia. The Simberi Operations occurs on the eastern half of the Simberi island covered by approximately 2,560 hectare Mining Lease (ML136). The Atlantic Gold operation is located in Moose River Gold Mines, near Middle Musquodoboit, approximately 60km north east of Halifax, Nova Scotia. The Gwalia mine has operations with approximately 2.1 million ounces of gold in reserves at a grade of 6.4 grams per ton. Ore at Simberi is sourced from various pits, including the Sorowar Pit. The Atlantic Gold operation has a combined estimated of approximately 1.9 million ounces of gold in reserves at a grade of 1.12 grams per ton.",2021-02-12,2.24,3.98,1.61,2.9,0,4539517,12.64,1622,1.2,4.5,0.58,24.59,1.92,1540,683.58,134.77,2.48,3.56,15.49,23.02,46.4
"34","WGX.AX","Westgold Resources Limited","Westgold Resources Limited is engaged in exploration of minerals. The principal activity of the Company is operating gold mines in Australia. The Company’s projects include Central Murchison Gold Project (CMGP), South Kalgoorlie Operations (SKO), Fortnum Gold Project (FGP), Tuckabianna Project and Rover Project. The CMGP is located in the Murchison Goldfields of Western Australia around the regional towns of Cue and Meekatharra. SKO includes the HBJ underground mine, a number of open pits and the Jubilee Mill. The FGP is located in the western Bryah Basin approximately 150 kilometers northwest of Meekatharra with approximately 1 million tone-per-annum carbon-in-leach (CIL). The Rover Project is a postulated undercover repetition of the prolific Tennant Creek goldfield located 80 kilometers to the north-east.",2021-02-12,2,2.98,1.21,2.47,0,2715103,24.19,881.62,1.67,5.03,0.33,7.25,1.24,774.34,360.06,-36.07,9.42,0,7.03,4.32,0
"35","ZIM.AX","Zimplats Holdings","Zimplats Holdings Limited is engaged in the business of producing platinum group metals (PGMs) and associated metals, which include nickel, gold, copper, cobalt and silver mined from the Great Dyke in Zimbabwe. Its segments include Platinum, Palladium, Gold, Rhodium, Nickel, Ruthenium, Iridium, Silver, Copper and Cobalt. The Company, through its subsidiary Zimbabwe Platinum Mines (Private) Limited, a producer of PGMs, is engaged in exploiting the ore bodies located on the Great Dyke in Zimbabwe. The Company has a Mineral Resource base of approximately 223.6 million ounces 4E. The Company operates approximately four underground mines and an open pit mine, which supply ore to three concentrator modules (two at Ngezi and the third one at Selous). Three of the four underground mines are operating at full production while the fourth one is under re-development. The Company sells white matte (a concentrate of metals), which consists of platinum, palladium, rhodium, gold and nickel.",2021-02-12,12.5,15.21,6.96,11.04,0,7128,5.12,1340,1.05,2.57,1.34,0.94,11.82,1210,13.09,144.79,87.84,3.28,30.13,43.74,44.8
